LocationID,taxiName,mapName,Borough,xID
40,Carroll Gardens,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn
41,Central Harlem,Harlem,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Harlem
42,Central Harlem North,Harlem,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Harlem
43,Central Park,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side
44,Charleston/Tottenville,Tottenville,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Tottenville
45,Chinatown,Little Italy,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Little_Italy
46,City Island,Allerton,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Allerton
47,Claremont/Bathgate,Claremont Village,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Claremont_Village
48,Clinton East,Hell's Kitchen,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen
49,Clinton Hill,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant
50,Clinton West,Hell's Kitchen,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen
51,Co-Op City,Co-op City,Bronx,NA
52,Cobble Hill,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn
53,College Point,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace
54,Columbia Street,Columbia St,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Columbia_St
55,Coney Island,Sea Gate,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Sea_Gate
56,Corona,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
57,Corona,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
58,Country Club,Throgs Neck,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Throgs_Neck
59,Crotona Park,Van Nest,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest
60,Crotona Park East,Van Nest,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest
61,Crown Heights North,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights
62,Crown Heights South,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights
63,Cypress Hills,Bushwick,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick
64,Douglaston,Little Neck,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Little_Neck
65,Downtown Brooklyn/MetroTech,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn
66,DUMBO/Vinegar Hill,DUMBO,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/DUMBO
67,Dyker Heights,Fort Hamilton,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton
68,East Chelsea,Chelsea,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Chelsea
69,East Concourse/Concourse Village,Concourse Village,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Concourse_Village
70,East Elmhurst,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway
71,East Flatbush/Farragut,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush
72,East Flatbush/Remsen Village,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush
73,East Flushing,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
74,East Harlem North,East Harlem,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/East_Harlem
75,East Harlem South,East Harlem,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/East_Harlem
76,East New York,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush
77,East New York/Pennsylvania Avenue,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush
78,East Tremont,Tremont,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Tremont
79,East Village,Stuyvesant Town,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Stuyvesant_Town
80,East Williamsburg,Williamsburg,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg
81,Eastchester,Wakefield,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Wakefield
82,Elmhurst,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
83,Elmhurst/Maspeth,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
